UserId:ItemId,Prediction,Timestamp
u0026762:i2171847,6,1362062307
u0026502:i0444778,8,1362062624
u0004598:i1411238,6,1362062838
u0031317:i1496422,7,1362063503
u0024257:i0118799,5,1362063653
u0024257:i0338013,4,1362063879
u0001870:i1003052,8,1362063906
u0024257:i0064665,8,1362064047
u0029372:i0884328,7,1362064104
u0014106:i1559547,9,1362064189
u0010978:i0119167,6,1362064605
u0006099:i0949731,5,1362065194
u0006099:i0319343,6,1362065226
u0006099:i1068680,7,1362065305
u0010095:i0376994,8,1362065947
u0017242:i1568338,2,1362066071
u0029040:i1853728,8,1362066113
u0010520:i1127715,7,1362066197
u0011075:i1790885,8,1362066300
u0004598:i0889573,5,1362066533
u0000542:i1954843,5,1362066578
u0023684:i0265086,10,1362066989
u0023684:i1757746,5,1362067038
u0022913:i0338216,6,1362067229
u0031559:i1371111,6,1362067709
u0023947:i1648179,6,1362067888
u0023947:i1853728,9,1362067909
u0036706:i1351685,8,1362068062
u0002141:i1045658,7,1362068369
u0026647:i0099685,8,1362068477
u0034370:i0067989,8,1362068698
u0025692:i1707386,10,1362068726
u0011389:i1606378,6,1362069124
u0013666:i0970179,4,1362069634
u0018421:i0373283,5,1362069674
u0013666:i0372784,9,1362069687
u0013666:i0468569,10,1362069763
u0019874:i0970179,8,1362070263
u0008425:i0322420,10,1362070730
u0008425:i0114787,9,1362070778
u0008425:i0118843,10,1362070796
u0008425:i0101700,9,1362070920
u0008425:i0112682,8,1362070953
u0008425:i0372824,10,1362071132
u0008425:i0462683,8,1362071210
u0035222:i1428538,7,1362071478
u0008191:i0091670,6,1362071541
u0018336:i0454876,8,1362071597
u0013845:i0080736,7,1362071672
u0018336:i0120731,9,1362071704
u0013845:i0087182,6,1362071793
u0019873:i0114857,7,1362072083
u0023474:i0139654,8,1362072425
u0023474:i0790724,8,1362072445
u0031022:i0938330,10,1362072683
u0029934:i1333125,3,1362072970
u0023568:i1316536,9,1362073333
u0028537:i1492959,5,1362073460
u0021201:i1024648,6,1362073694
u0027423:i1606378,2,1362074225
u0011884:i0313542,7,1362074389
u0008999:i0825232,8,1362074564
u0023336:i1922777,6,1362074583
u0001325:i1922777,6,1362074625
u0026647:i1667310,7,1362074668
u0024996:i1565958,7,1362074844
u0026571:i1308729,10,1362075022
u0013729:i1024648,10,1362075502
u0014255:i0499549,8,1362075510
u0026882:i1772341,10,1362075512
u0014255:i0432283,7,1362075600
u0014255:i0875034,7,1362075683
u0014255:i0887912,7,1362075748
u0014255:i1054606,8,1362075791
u0014255:i1055369,7,1362075844
u0014255:i0397892,9,1362075990
u0035841:i1486192,5,1362076135
u0013565:i1549920,8,1362076299
u0023278:i1568338,7,1362076350
u0014255:i1010048,10,1362076573
u0014255:i0468569,8,1362076641
u0014255:i0493464,8,1362076721
u0014255:i0467406,7,1362076816
u0023684:i0145660,10,1362076867
u0002662:i1853728,9,1362076895
u0014255:i0449088,8,1362077046
u0025429:i0822847,7,1362077087
u0014255:i0382932,8,1362077097
u0014255:i0408236,9,1362077138
u0014255:i0385752,9,1362077195
u0004010:i1234719,4,1362077226
u0014255:i0419887,8,1362077249
u0024602:i0074256,10,1362078044
u0010368:i1606378,3,1362078528
u0027258:i2178941,8,1362078580
u0026015:i1907668,7,1362079157
u0009487:i0315824,6,1362079293
u0028836:i1371111,3,1362079303
u0035624:i2125666,6,1362079612
u0019866:i1024648,9,1362079660
u0036593:i1588173,10,1362079943
u0018277:i1920849,7,1362080099
u0026281:i1772341,7,1362080122
u0000794:i1204340,7,1362080293
u0029254:i1217613,7,1362080460
u0037720:i1907668,4,1362080470
u0032369:i1446714,10,1362080520
u0014453:i1024255,10,1362080596
u0005140:i0019760,7,1362080668
u0038536:i0479968,1,1362080826
u0001649:i2024432,5,1362080916
u0038536:i0482599,2,1362080918
u0022550:i1904996,7,1362080936
u0038536:i0391198,3,1362080953
u0032381:i0780653,6,1362081378
u0037733:i2608224,9,1362081422
u0027420:i1010048,8,1362081947
u0035119:i1790886,5,1362082005
u0033596:i1433822,4,1362082654
u0029066:i1907668,9,1362082805
u0020114:i1045658,8,1362082901
u0009517:i0913354,3,1362083010
u0004257:i1772341,7,1362083016
u0013666:i0762125,6,1362083018
u0027664:i1276104,7,1362083107
u0010181:i1640548,9,1362083160
u0030753:i1606378,6,1362083328
u0032002:i0205000,7,1362083537
u0005214:i1045658,9,1362083670
u0014198:i1217209,7,1362083671
u0021823:i1321860,2,1362083821
u0017009:i0095765,9,1362084129
u0017279:i1386703,7,1362084290
u0028852:i1245526,9,1362084771
u0025304:i1298649,5,1362084776
u0000669:i1321870,9,1362084855
u0019334:i2125608,10,1362084991
u0016572:i1321870,8,1362084999
u0025011:i2400272,10,1362085128
u0018291:i1853728,9,1362085314
u0004786:i1428538,9,1362085519
u0018458:i1904996,8,1362085580
u0002108:i1024648,10,1362085628
u0021596:i0983213,5,1362085643
u0021072:i0975645,7,1362085790
